"","day","month","year","cases"
"1","05","12","2020",235
"2","04","12","2020",119
"3","03","12","2020",202
"4","02","12","2020",400
"5","01","12","2020",272
"6","30","11","2020",0
"7","29","11","2020",228
"8","28","11","2020",214
"9","27","11","2020",0
"10","26","11","2020",200
"11","25","11","2020",185
"12","24","11","2020",246
"13","23","11","2020",252
"14","22","11","2020",154
"15","21","11","2020",232
"16","20","11","2020",282
"17","19","11","2020",0
"18","18","11","2020",383
"19","17","11","2020",65
"20","16","11","2020",163
"21","15","11","2020",205
"22","14","11","2020",66
"23","13","11","2020",360
"24","12","11","2020",146
"25","11","11","2020",0
"26","10","11","2020",224
"27","09","11","2020",80
"28","08","11","2020",126
"29","07","11","2020",58
"30","06","11","2020",40
"31","05","11","2020",121
"32","04","11","2020",86
"33","03","11","2020",95
"34","02","11","2020",132
"35","01","11","2020",76
"36","31","10","2020",157
"37","30","10","2020",123
"38","29","10","2020",0
"39","28","10","2020",113
"40","27","10","2020",199
"41","26","10","2020",65
"42","25","10","2020",81
"43","24","10","2020",61
"44","23","10","2020",116
"45","22","10","2020",135
"46","21","10","2020",88
"47","20","10","2020",87
"48","19","10","2020",59
"49","18","10","2020",68
"50","17","10","2020",47
"51","16","10","2020",0
"52","15","10","2020",32
"53","14","10","2020",66
"54","13","10","2020",129
"55","12","10","2020",96
"56","11","10","2020",0
"57","10","10","2020",10
"58","09","10","2020",77
"59","08","10","2020",68
"60","07","10","2020",62
"61","06","10","2020",145
"62","05","10","2020",44
"63","04","10","2020",7
"64","03","10","2020",5
"65","02","10","2020",17
"66","01","10","2020",14
"67","30","09","2020",15
"68","29","09","2020",12
"69","28","09","2020",0
"70","27","09","2020",35
"71","26","09","2020",6
"72","25","09","2020",16
"73","24","09","2020",25
"74","23","09","2020",71
"75","22","09","2020",30
"76","21","09","2020",0
"77","20","09","2020",125
"78","19","09","2020",47
"79","18","09","2020",0
"80","17","09","2020",17
"81","16","09","2020",40
"82","15","09","2020",99
"83","14","09","2020",75
"84","13","09","2020",35
"85","12","09","2020",34
"86","11","09","2020",28
"87","10","09","2020",24
"88","09","09","2020",26
"89","08","09","2020",96
"90","07","09","2020",74
"91","06","09","2020",20
"92","05","09","2020",16
"93","04","09","2020",45
"94","03","09","2020",38
"95","02","09","2020",9
"96","01","09","2020",34
"97","31","08","2020",19
"98","30","08","2020",3
"99","29","08","2020",11
"100","28","08","2020",3
"101","27","08","2020",55
"102","26","08","2020",1
"103","25","08","2020",71
"104","24","08","2020",0
"105","23","08","2020",105
"106","22","08","2020",38
"107","21","08","2020",97
"108","20","08","2020",160
"109","19","08","2020",0
"110","18","08","2020",3
"111","17","08","2020",45
"112","16","08","2020",120
"113","15","08","2020",7
"114","14","08","2020",79
"115","13","08","2020",76
"116","12","08","2020",215
"117","11","08","2020",0
"118","10","08","2020",0
"119","09","08","2020",39
"120","08","08","2020",78
"121","07","08","2020",41
"122","06","08","2020",67
"123","05","08","2020",82
"124","04","08","2020",37
"125","03","08","2020",0
"126","02","08","2020",0
"127","01","08","2020",168
"128","31","07","2020",71
"129","30","07","2020",0
"130","29","07","2020",103
"131","28","07","2020",105
"132","27","07","2020",106
